Analysis Date,Women's Health
Sep-01-2009,3972
Oct-01-2009,8439
Nov-01-2009,9337
Dec-01-2009,5431
Jan-01-2010,4129
Feb-01-2010,7632
Mar-01-2010,10208
Apr-01-2010,14336
May-01-2010,7297
Jun-01-2010,10624
Jul-01-2010,37908
Aug-01-2010,25580
Sep-01-2010,30021
Oct-01-2010,24850
Nov-01-2010,30915
Dec-01-2010,28286
Jan-01-2011,48220
Feb-01-2011,66994
Mar-01-2011,54862
Apr-01-2011,62705
May-01-2011,59762
Jun-01-2011,55543
Jul-01-2011,56762
Aug-01-2011,73897
Sep-01-2011,59268
Oct-01-2011,45369
Nov-01-2011,58995
Dec-01-2011,46893
Jan-01-2012,61712
Feb-01-2012,289843
Mar-01-2012,238587
Apr-01-2012,87907
May-01-2012,78144
Jun-01-2012,75780
Jul-01-2012,120345
Aug-01-2012,302149
Sep-01-2012,158948
Oct-01-2012,250758
Nov-01-2012,160845
Dec-01-2012,96995
Jan-01-2013,206774
Feb-01-2013,164500
Mar-01-2013,185139
Apr-01-2013,176556
May-01-2013,179306
Jun-01-2013,183191
Jul-01-2013,188529
Aug-01-2013,146959
Sep-01-2013,151316
Oct-01-2013,181161
Nov-01-2013,174900
Dec-01-2013,146080
Jan-01-2014,198872
